tokens,type,source
25,apc580,CRAFT
210,immaturity,MIMIC2MD
17,arrest,MIMIC2MD
9,denaturation,CRAFT
42,afebrile,MIMIC2MD
7,assoc,MIMIC2MD
4,inactive,CRAFT
201,associated,CRAFT
3,amber,MIMIC2MD
2,inferior,MIMIC2MD
3,awakens,MIMIC2MD
121,aj,CRAFT
59,asx,MIMIC2MD
106,available,MIMIC2MD
4,intriguingly,CRAFT
2,associates,MIMIC2MD
2,atrxnullygata1cre,CRAFT
6,noticeable,CRAFT
7,aldomet,MIMIC2MD
5,apact,CRAFT
22,ativan,MIMIC2MD
2,antiphosphoh2ax,CRAFT
47,afferent,CRAFT
6,dessitin,MIMIC2MD
2,abp,MIMIC2MD
5,aberrantly,CRAFT
2,desynapsis,CRAFT
4,inborn,MIMIC2MD
16,inset,CRAFT
2,asymmetrical,CRAFT
126,indicates,CRAFT
2,undefined,CRAFT
3,undecalcified,CRAFT
2,noguchi,CRAFT
4,air,CRAFT
91,impaired,CRAFT
2,incarceration,MIMIC2MD
2,antipv,CRAFT
3,antigrb2,CRAFT
5,antisnail,CRAFT
3,atm,CRAFT
6,atropine,MIMIC2MD
2,appetite,CRAFT
4,nonidet,CRAFT
2,delc19,CRAFT
15,approx,MIMIC2MD
2,del10,CRAFT
5,administered,MIMIC2MD
7,decidual,CRAFT
724,an,MIMIC2MD
67,abstract,CRAFT
7,antibody,MIMIC2MD
2,accidentally,MIMIC2MD
3,allelespecific,CRAFT
42,insulin,MIMIC2MD
2,nonproductive,MIMIC2MD
861,also,CRAFT
2,unedited,CRAFT
16,influences,CRAFT
15,notify,MIMIC2MD
2,impapproaching,MIMIC2MD
2,unconsoleable,MIMIC2MD
48,anova,CRAFT
19,insufficiency,MIMIC2MD
15,involves,CRAFT
48,indo,MIMIC2MD
5,antitrypsin,MIMIC2MD
8,devt,MIMIC2MD
2,adopted,MIMIC2MD
15,areas,MIMIC2MD
65,adjust,MIMIC2MD
5,attenuated,CRAFT
112,altered,CRAFT
3,anticonvulsant,MIMIC2MD
2,ax,MIMIC2MD
1198,as,MIMIC2MD
49,approximated,MIMIC2MD
7,nonteder,MIMIC2MD
157,improving,MIMIC2MD
5,import,CRAFT
2,incuding,MIMIC2MD
3,ahve,MIMIC2MD
15,distributed,CRAFT
278,anemia,MIMIC2MD
11,abrasion,MIMIC2MD
124,aqp2,CRAFT
7,amniotic,MIMIC2MD
17,disorder,MIMIC2MD
415,noted,MIMIC2MD
850,afso,MIMIC2MD
8,appeared,MIMIC2MD
185,amino,CRAFT
29,atrxwt,CRAFT
442,intermittent,MIMIC2MD
2,autoimmune,MIMIC2MD
48,deh,CRAFT
23,impplan,MIMIC2MD
58,develops,MIMIC2MD
2,aguet,CRAFT
66,increasing,MIMIC2MD
